surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
Macdonald,559,France,Male,45,8,24043.45,1,0,1,169781.45,1
Chiang,777,Germany,Male,35,7,122917.69,1,1,1,76169.68,0
Plumb,713,France,Female,39,10,0.0,2,1,1,126263.97,0
Maclean,550,France,Male,57,5,0.0,1,1,1,133501.94,0
Otutodilinna,754,France,Male,28,8,0.0,2,1,1,52615.62,0
Baird,587,France,Female,36,1,134997.49,2,1,0,44688.08,0
Nnachetam,549,Spain,Male,25,6,193858.2,1,0,1,21600.11,0
Liu,630,France,Male,67,5,0.0,2,1,1,27330.27,0
Pai,683,Spain,Female,24,8,98567.1,1,1,0,187987.01,0
Stevenson,567,France,Female,45,4,0.0,2,0,1,121053.19,0
Moen,646,France,Male,30,5,98014.74,1,1,1,12757.14,0
Chidiegwu,821,Germany,Male,45,0,135827.33,2,1,1,131778.58,0
Alvarez,610,Germany,Male,36,7,115462.02,1,0,1,42581.04,0
Onyemere,784,France,Male,38,5,136712.91,1,0,1,169920.92,0
Gboliwe,530,Spain,Female,41,4,0.0,2,0,1,147606.71,0
She,746,France,Female,21,8,166883.07,2,0,1,194563.65,0
Summers,580,France,Male,55,6,104305.74,1,0,1,175750.21,0
Kang,586,France,Male,29,3,0.0,2,1,1,142238.54,0
Allen,638,Germany,Male,37,2,89728.86,2,1,1,37294.88,0
Lei,556,Germany,Male,33,3,124213.36,2,1,0,62627.55,0
Alekseyeva,662,France,Male,34,2,0.0,2,0,1,21497.27,0
Shaw,630,Germany,Female,31,2,112373.49,2,1,1,131167.98,0
Ricci,732,France,Male,36,7,0.0,2,1,1,60830.24,0
Chibueze,627,France,Male,27,1,62092.9,1,1,1,105887.04,0
Ndubueze,715,France,Male,34,4,124314.45,1,0,0,97782.92,0
He,438,France,Male,38,2,0.0,2,1,0,136859.55,0
Joseph,835,Spain,Male,45,3,100212.13,1,1,0,152577.62,0
Pan,624,France,Male,51,10,123401.43,2,1,1,127825.25,0
Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
Chiawuotu,609,Spain,Male,61,1,0.0,1,1,0,22447.85,1
Beatham,711,Spain,Male,32,5,0.0,2,1,1,147720.27,0
Fedorov,680,France,Male,34,9,0.0,2,1,1,95686.6,0
Milano,700,Germany,Female,39,5,144550.83,2,1,1,189664.43,0
Tsui,668,Spain,Female,69,9,0.0,1,0,1,134483.07,0
Black,579,France,Female,27,9,0.0,2,1,0,126838.7,0
McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0
Spencer,566,France,Male,36,1,142120.91,1,1,0,79616.37,0
Allan,824,Germany,Male,49,8,133231.48,1,1,1,67885.37,0
Tu,467,France,Male,57,1,0.0,2,1,1,114448.77,0
Sanders,685,Spain,Male,38,4,0.0,2,1,1,35884.91,0
Bowhay,777,Germany,Female,37,10,121532.17,2,1,1,73464.88,0
Hayes-Williams,809,France,Female,39,5,0.0,1,1,0,77705.75,0
Tuan,804,France,Male,55,7,0.0,2,1,1,118752.6,0
Ross-Watt,595,Germany,Female,45,9,106000.12,1,0,0,191448.96,1
Yeh,672,Germany,Female,21,1,35741.69,1,1,0,28789.94,0
L?,624,France,Male,55,7,118793.6,1,1,1,95022.02,1
Tsao,521,France,Male,39,7,0.0,2,0,1,653.58,0
Simon,671,Germany,Female,23,9,123943.18,1,1,1,159553.27,0
Cox,720,France,Male,33,2,0.0,2,0,1,141031.08,0
Oliver,611,Spain,Male,46,6,0.0,2,1,0,45886.33,0
Lin,602,France,Male,34,5,0.0,2,1,1,77414.45,0
Bruno,493,France,Female,33,8,90791.69,1,1,1,59659.53,0
Bennett,498,Germany,Male,37,8,108432.88,2,1,1,14865.05,0
Bruno,619,France,Male,25,4,0.0,1,1,0,145524.36,0
Onuoha,553,France,Male,42,1,0.0,2,0,0,23822.04,0
Davy,686,Spain,Female,35,4,0.0,2,1,1,159676.55,0
Trevisano,595,Germany,Female,32,0,92466.21,1,1,0,4721.3,0
Gibbs,777,France,Female,29,9,131240.61,1,1,1,163746.09,1
Benson,423,France,Female,36,5,97665.61,1,1,0,118372.55,1
Fowler,511,France,Female,31,5,137411.29,1,0,1,161854.98,0
Maclean,576,Spain,Male,26,8,0.0,2,0,1,34101.06,0
Challis,591,France,Female,42,10,0.0,2,0,0,171099.22,0
Benson,585,Germany,Female,40,3,162261.01,2,1,0,137028.51,0
Mitchell,633,France,Male,59,2,103996.74,1,1,1,103159.11,0
Pirogova,658,Germany,Female,45,9,134562.8,1,1,1,159268.67,0
Ignatieff,705,Spain,Female,23,5,0.0,2,1,1,73131.73,0
Hayes,764,France,Female,44,1,0.0,2,1,1,11467.38,0
Lucchese,696,France,Male,19,1,110928.51,1,1,1,2766.63,0
Chukwualuka,682,France,Female,58,1,0.0,1,1,1,706.5,0
Cowen,646,France,Female,30,5,0.0,2,1,0,13935.32,0
Brownlow,534,France,Male,38,3,0.0,1,0,0,143938.27,0
Alexeeva,549,Germany,Male,54,5,92877.33,1,1,0,2619.64,1
Nkemjika,686,France,Female,43,0,0.0,1,1,1,170072.9,0
Milne,606,Germany,Male,65,10,126306.64,3,0,0,7861.68,1
She,637,France,Male,27,9,128940.24,1,1,0,46786.92,0
Russell,724,France,Female,69,5,117866.92,1,1,1,62280.91,0
Osonduagwuike,676,Germany,Female,34,4,89437.03,1,1,1,189540.95,0
Steele,621,France,Male,40,10,163823.37,1,0,0,89519.47,0
Bird,556,Spain,Male,38,2,115463.16,1,1,0,150679.65,0
Bermudez,675,France,Male,49,8,135133.39,1,0,1,179521.24,1
Jackson,809,France,Female,24,4,0.0,2,1,0,193518.76,0
Ricci,604,Spain,Female,39,7,98544.11,1,1,1,52327.57,0
Chukwueloka,469,Germany,Female,52,8,139493.25,3,0,0,150093.32,1
Nwokezuike,629,Spain,Female,44,6,125512.98,2,0,0,79082.76,0
Okeke,771,France,Male,50,3,105229.72,1,1,1,16281.68,1
Bell,654,France,Female,35,2,90865.8,1,1,1,86764.46,0
Ch'ang,646,Germany,Female,30,10,100548.67,2,0,0,136983.77,0
Trentino,817,Germany,Male,58,3,114327.59,2,1,1,42831.11,0
Reichard,721,Germany,Female,36,3,65253.07,2,1,0,28737.78,0
McCarthy,782,France,Male,36,1,148795.17,2,1,1,195681.43,0
Moore,559,France,Female,70,9,0.0,1,1,1,122996.76,0
Bianchi,672,Germany,Male,40,4,89025.88,2,1,0,188892.19,0
Hill,472,Spain,Female,28,4,0.0,2,1,0,1801.77,0
Johnstone,755,France,Male,36,8,0.0,2,1,0,176809.87,0
Kanayochukwu,756,France,Male,28,8,179960.2,1,1,0,89938.08,0
Ch'iu,841,France,Female,52,5,0.0,1,0,0,183239.71,1
MacDonald,612,France,Female,33,9,0.0,1,0,0,142797.5,1
Lane,478,Spain,Male,43,1,0.0,2,1,1,197916.43,0
Tai,716,France,Male,35,4,144428.87,1,1,0,134132.65,0
Kesteven,731,France,Male,31,1,132512.26,1,1,1,185466.85,0
Chimaijem,641,Spain,Male,32,7,0.0,2,1,1,24267.28,0
Gadsden,497,Germany,Female,55,7,131778.66,1,1,1,9972.64,0
Fetherstonhaugh,507,France,Female,29,4,89349.47,2,0,0,180626.68,0
Munson,563,Spain,Male,24,7,0.0,2,0,0,16319.56,0
Toscani,568,Spain,Female,46,3,0.0,2,1,1,29372.62,0
Ferguson,580,Germany,Male,76,2,130334.84,2,1,1,51672.08,0
Nnamutaezinwa,778,France,Male,38,3,145018.49,2,1,1,126702.41,0
Hsiung,639,France,Female,38,5,0.0,2,0,0,93716.38,0
Ball,585,Spain,Male,45,0,0.0,2,0,0,189683.7,0
Godfrey,648,France,Male,38,10,82697.28,1,1,0,74846.67,0
Martin,555,France,Male,55,4,146798.81,1,1,1,74149.77,0
Jideofor,562,Germany,Male,33,8,92659.2,2,1,0,1354.25,0
Benson,586,Germany,Female,56,9,100781.75,2,1,1,54448.41,0
Ogochukwu,654,Spain,Female,32,2,0.0,1,1,1,51972.92,1
Uwaezuoke,490,France,Male,29,4,0.0,2,1,0,32089.57,0
Read,496,France,Male,31,5,0.0,2,1,0,93713.13,0
Hollis,543,Spain,Male,23,5,0.0,2,1,0,117832.39,0
Chiang,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1
Stone,739,France,Male,41,5,0.0,2,0,0,143882.25,0
Nkemjika,590,France,Female,60,6,147751.75,1,1,0,88206.04,1
Kirsova,678,France,Female,28,4,0.0,2,1,1,144423.17,1
Storey,658,Spain,Male,36,1,0.0,2,0,1,84927.42,0
Macleod,656,France,Female,48,9,0.0,2,1,1,85240.61,1
Hopkins,701,France,Male,39,2,0.0,2,1,1,82526.92,0
Chizuoke,645,France,Male,30,1,125739.26,1,1,1,193441.23,0
Yin,692,France,Female,36,4,0.0,1,1,0,185580.89,1
Zaytseva,624,Spain,Female,38,8,0.0,2,1,0,95403.41,0
Ch'iu,477,Spain,Female,48,2,129120.64,1,0,1,26475.79,0
Cameron,732,Germany,Female,29,1,154333.82,1,1,1,138527.56,0
Foxall,501,France,Female,34,3,107747.57,1,1,0,9249.36,0
Zakharov,539,Spain,Male,38,6,0.0,1,1,1,152880.07,1
Stephenson,594,France,Female,31,0,79340.95,1,1,0,78255.86,0
Fokine,651,France,Male,40,4,0.0,2,1,1,147715.83,0
Martin,738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1
Rita,667,Spain,Male,31,5,0.0,2,1,1,20346.69,0
Loggia,624,France,Female,62,7,125163.62,2,1,1,151411.5,0
Carr,627,Germany,Female,30,4,79871.02,2,1,0,129826.89,0
Obijiaku,771,France,Male,39,5,0.0,2,1,0,96270.64,0
Perkins,668,France,Male,38,10,86977.96,1,0,1,37094.75,0
Castiglione,634,Germany,Male,27,3,107027.52,1,1,0,173425.68,0
Han,555,France,Female,44,3,105770.7,3,1,0,60533.96,1
Thomson,462,France,Male,39,4,140133.08,2,0,0,131304.45,0
Watt,560,Spain,Female,33,9,0.0,1,0,1,183358.21,0
West,692,Germany,Female,43,10,118588.83,1,1,1,161241.65,1
Rioux,511,Germany,Female,40,9,124401.6,1,1,0,198814.24,1
Mazzi,619,France,Male,29,5,0.0,2,1,0,194310.1,0
Oluchukwu,842,France,Male,44,3,141252.18,4,0,1,128521.16,1
Burgoyne,497,Spain,Male,44,2,121250.04,1,0,1,79691.4,0
Sanders,516,France,Male,33,7,115195.58,1,1,1,11205.5,0
Kao,747,France,Female,34,10,0.0,2,1,1,50759.8,0
Revell,586,Spain,Female,57,3,0.0,2,0,1,6057.81,0
Hsiao,443,Germany,Male,50,3,117206.3,1,1,0,42840.18,1
He,760,Germany,Male,42,0,77992.97,2,1,1,97906.38,0
Amaechi,534,France,Female,49,7,0.0,1,1,0,13566.48,1
Buckley,615,France,Male,39,4,133707.09,1,1,1,108152.75,0
Iloerika,543,France,Male,42,7,0.0,1,1,1,56650.47,0
Li Fonti,642,Spain,Female,36,6,0.0,2,1,1,97938.59,0
Chikwado,734,Germany,Female,52,6,71283.09,2,0,1,38984.37,0
McDonald,434,Germany,Male,55,8,109339.17,2,1,0,96405.88,1
Pagnotto,491,France,Female,68,3,107571.61,1,0,1,113695.99,0
Yang,619,Germany,Female,41,5,92467.58,1,1,0,38270.47,0
Bergamaschi,715,France,Male,41,4,94267.9,1,0,1,152821.12,1
Wan,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1
Lowe,679,France,Male,37,7,74260.03,1,1,0,194617.98,0
Ifeatu,771,Germany,Male,32,9,77487.2,1,0,0,33143.04,0
Amaechi,600,France,Female,38,9,0.0,2,1,1,58855.85,0
Bayley,793,Germany,Male,54,2,128966.13,1,0,0,18633.4,1
Perkins,633,France,Male,35,10,0.0,2,1,0,65675.47,0
She,714,Spain,Male,34,5,0.0,2,1,0,193040.32,0
Hammer,691,France,Male,58,3,0.0,1,0,1,194930.3,1
Hopkins,541,Germany,Female,39,9,100116.67,1,1,1,199808.1,1
Argyle,604,Spain,Female,34,3,0.0,2,1,0,38587.7,0
Zetticci,519,France,Male,34,5,0.0,1,1,0,68479.6,0
Biryukov,667,France,Male,40,9,0.0,1,1,1,96670.2,0
Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1
Leonard,562,France,Male,38,5,0.0,1,1,0,115700.2,0
Metcalfe,831,France,Female,32,2,146033.62,1,1,0,191260.74,0
Wright,631,Germany,Female,37,2,121801.72,2,0,1,23146.62,0
Milani,559,Spain,Female,27,1,0.0,1,0,1,1050.33,0
Swinton,792,France,Male,31,6,71269.89,2,0,1,125912.77,0
McGill,624,Germany,Female,45,5,151855.33,1,1,0,68794.15,0
Liang,640,Spain,Male,36,4,0.0,1,0,0,173016.46,0
Ulyanova,706,Spain,Female,43,1,0.0,2,1,0,31962.77,0
O'Sullivan,566,France,Male,42,3,108010.78,1,1,1,157486.1,0
Genovese,543,France,Male,35,5,137482.19,1,0,0,62389.35,0
Castiglione,430,France,Male,31,5,0.0,1,1,0,95655.16,0
Pokrovsky,501,Germany,Male,38,9,88977.39,2,0,1,133403.07,0
Sinclair,512,France,Female,41,6,0.0,1,1,1,100507.81,0
Topp,662,France,Female,22,9,0.0,2,1,1,44377.65,0
Li Fonti,418,France,Male,28,7,98738.92,1,1,0,122190.22,0
Ts'ui,696,Spain,Female,36,3,0.0,3,1,0,65039.9,0
Okwukwe,628,France,Female,31,6,175443.75,1,1,0,113167.17,1
Fetherstonhaugh,525,France,Female,25,6,0.0,2,1,0,89566.64,0
Martin,663,France,Male,34,10,0.0,1,1,1,114083.73,0
Y?,654,France,Female,29,4,96974.97,1,0,1,141404.07,0
Ts'ai,408,France,Male,40,3,0.0,2,0,0,124874.23,0
Lennox,558,Germany,Male,58,2,142537.18,1,1,1,88791.83,0
Maslow,730,Spain,Female,52,7,0.0,2,0,1,122398.84,0
Enderby,633,Germany,Male,43,3,144164.29,1,1,1,158646.46,0
Jones,646,France,Female,51,4,101629.3,1,0,0,130541.1,0
Sinclair,653,France,Male,29,2,0.0,2,1,1,41671.81,0
Hsing,720,France,Male,33,9,0.0,2,1,1,142956.48,0
Polyakova,622,Spain,Male,42,9,0.0,2,1,0,119127.06,0
Fomin,526,Spain,Male,30,8,0.0,1,1,0,36251.0,0
Capon,485,France,Male,37,5,0.0,2,0,1,170226.47,0
Whitfield,616,Spain,Male,30,2,0.0,2,1,0,199099.51,0
Duigan,777,France,Female,30,4,137851.31,1,1,0,5008.23,1
Shao,705,France,Female,24,7,100169.51,1,1,0,121408.55,0
Kauffmann,537,France,Male,59,9,0.0,2,0,0,103799.77,1
Lai,471,Germany,Male,23,6,104592.55,2,1,0,131736.23,0
Frolova,850,France,Female,55,10,98488.08,1,1,0,155879.57,1
Ts'ui,526,France,Female,37,5,53573.18,1,1,0,62830.97,0
Vasiliev,616,France,Female,31,3,136789.14,1,1,0,59346.4,1
Emery,733,Spain,Female,31,9,102289.85,1,1,1,115441.66,0
Coates,453,Spain,Female,42,5,0.0,3,1,0,83008.49,1
He,791,Germany,Male,35,5,129828.58,1,1,1,181918.26,1
Hammonds,743,France,Male,36,4,0.0,2,1,1,190911.02,0
Sabbatini,772,Germany,Male,42,3,75075.31,2,1,0,92888.52,1
Davey,611,Germany,Female,36,10,103294.56,1,1,0,160548.12,0
Botts,683,Germany,Male,73,9,124730.26,1,1,1,51999.5,0
Scott,594,France,Male,35,2,0.0,2,1,0,103480.69,0
Shih,545,France,Male,47,8,105792.49,1,0,1,67830.2,1
Lo,702,France,Male,26,2,71281.29,1,1,1,108747.12,1
Golubev,710,Germany,Female,30,10,133537.1,2,1,0,155593.74,0
Conti,716,Germany,Female,30,2,205770.78,2,0,0,65464.66,0
Kaeppel,628,Germany,Female,51,9,155903.82,2,1,1,71159.84,0
Wertheim,640,Spain,Female,32,6,118879.35,2,1,1,19131.71,0
Bruno,684,Germany,Female,56,3,127585.98,3,1,1,80593.49,1
Grant,850,France,Female,38,2,0.0,2,1,0,9015.07,0
Woodard,449,France,Male,52,6,0.0,2,0,1,123622.0,0
Dobie,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1
Larionova,618,Spain,Male,38,5,126473.99,1,1,0,91972.49,0
Kang,756,France,Male,34,1,103133.26,1,1,1,90059.04,0
Ferri,780,France,Female,43,0,0.0,1,0,1,15705.27,0
Calabrese,587,Germany,Female,37,6,104414.03,1,1,0,192026.02,0
Yang,546,Germany,Female,52,1,106074.89,1,1,1,23548.45,1
H?,520,France,Female,39,6,145644.05,1,0,0,104118.93,0
Palerma,700,Spain,Female,40,2,0.0,2,1,0,199753.97,0
Nnanna,664,Germany,Male,25,6,172812.72,2,1,1,108008.65,0
Walker,625,France,Male,31,5,0.0,2,0,1,90.07,0
Septimus,579,France,Male,36,9,129829.59,1,1,1,60906.12,0
Waterhouse,637,Germany,Male,30,6,122641.56,2,1,0,65618.01,0
Bochsa,776,France,Female,29,5,0.0,2,1,1,143301.49,0
Fennell,579,Spain,Male,37,4,0.0,2,1,1,32246.63,0
Sagese,607,Germany,Male,47,4,148826.32,1,1,1,79450.61,0
Watson,674,France,Male,45,7,144889.18,1,1,1,102591.9,1
Kuo,639,France,Female,31,3,98360.03,1,0,0,20973.8,0
Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1
John,758,Spain,Female,35,5,0.0,2,0,0,100365.51,0
Lucchesi,652,France,Female,32,2,0.0,2,1,0,54628.11,0
Boyle,469,France,Female,48,5,0.0,1,1,0,160529.71,1
Dumetolisa,505,Spain,Female,45,9,131355.3,3,1,0,195395.33,1
P'eng,537,Spain,Female,38,1,0.0,2,0,1,41233.97,0
Niu,806,Spain,Male,25,7,0.0,2,1,0,18461.9,0
McIntyre,702,Spain,Male,32,8,71667.74,1,1,1,126082.18,0
Barker,583,France,Male,33,7,122531.86,1,1,0,13549.24,0
Oluchukwu,795,France,Male,32,2,117265.21,1,1,1,198317.23,0
Connely,755,France,Male,23,5,84284.48,2,1,1,62851.6,0
Nazarova,587,Spain,Male,51,3,83739.32,1,0,1,148798.45,0
Rossi,705,France,Male,32,3,0.0,2,0,0,129576.99,0
Moretti,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1
Onyekachi,673,Germany,Female,34,1,127122.79,3,0,1,76703.1,0
Bazarova,752,France,Male,33,4,0.0,2,1,1,39570.78,0
Sutherland,557,France,Female,27,2,0.0,2,0,1,4497.55,0
Tang,749,Germany,Male,66,6,182532.23,2,1,1,195429.92,0
Carslaw,427,Germany,Male,42,1,75681.52,1,1,1,57098.0,0
Chizuoke,652,Germany,Male,50,8,125437.64,1,1,1,17160.94,1
Golovanov,479,France,Male,40,1,0.0,2,0,0,114996.43,0
Lane,655,France,Female,41,5,0.0,1,0,0,36548.0,1
Allen,612,France,Female,38,1,0.0,2,1,1,9209.21,0
Morphett,593,Spain,Male,35,4,161637.75,1,1,1,20008.46,0
Chukwubuikem,703,Spain,Male,31,6,0.0,2,1,1,67667.19,0
Hung,629,France,Female,33,6,0.0,2,1,1,59129.72,0
Pedder,807,Germany,Male,47,1,171937.27,1,1,1,65636.92,0
Gibson,660,Germany,Male,28,1,118402.25,2,1,0,14288.93,0
Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,0
Hooker,807,Germany,Male,37,10,130110.45,2,0,1,172097.95,0
Millar,615,France,Female,30,9,0.0,1,1,0,87347.82,0
Chia,790,Spain,Male,46,8,182364.53,1,0,0,139266.48,1
Schiavone,769,Spain,Male,39,9,0.0,1,1,1,47722.79,0
McClemans,775,France,Male,60,7,0.0,2,1,1,111558.7,0
Singh,740,Germany,Female,40,2,122295.17,2,1,1,30812.84,0
Chiazagomekpere,850,France,Male,49,6,128663.9,1,1,0,65769.3,1
Slater,850,Germany,Male,38,7,101985.81,2,0,0,43801.27,0
Kent,540,Spain,Male,28,8,0.0,2,0,0,197588.32,0
Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0
Miller,562,France,Male,30,3,111099.79,2,0,0,140650.19,0
Simmons,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0
Gardner,583,France,Male,38,8,0.0,1,1,0,47848.56,0
Johnston,621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1
Chou,670,Germany,Male,43,9,111677.88,1,1,0,178827.3,1
Mann,600,Germany,Male,43,8,133379.41,1,1,0,177378.66,1
Siddons,573,Spain,Male,41,5,0.0,2,0,1,14479.29,0
Price,512,France,Male,51,6,144953.31,1,1,1,165035.17,0
Uwaezuoke,503,France,Male,29,3,0.0,2,1,1,143954.99,0
McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0
McCartney,591,Germany,Female,44,10,113581.98,1,1,0,1985.41,0
Warner,629,France,Female,40,9,137409.19,1,1,0,175877.7,1
Dennis,641,France,Male,65,6,38340.02,1,1,0,32607.77,1
Christie,761,Germany,Male,62,5,98854.34,1,0,0,86920.97,1
